,해구번호,유의파고(m),파향(deg),최대파주기(sec),풍속(m/s),풍향(deg)
0,1,0.0,184,7.2,3.5,214
1,2,0.1,168,6.5,3.4,179
2,3,0.1,172,6.6,3.2,188
3,4,0.1,174,6.8,2.6,194
4,5,0.1,169,6.9,1.9,205
5,6,0.2,157,6.2,4.0,156
6,7,0.2,162,6.2,3.4,165
7,8,0.1,163,6.3,2.5,171
8,9,0.1,159,6.6,2.2,176
9,10,0.1,131,7.0,1.8,173
10,11,0.3,152,6.0,5.1,156
11,12,0.3,153,6.1,3.2,166
12,13,0.2,152,6.4,1.9,156
13,14,0.2,147,6.7,1.8,149
14,15,0.2,130,6.7,1.6,142
15,16,0.4,142,5.9,2.8,185
16,17,0.4,144,6.1,2.3,184
17,18,0.4,146,6.3,1.5,174
18,19,0.3,145,6.4,1.3,117
19,20,0.3,143,6.4,2.0,114
20,21,0.4,132,6.4,2.6,116
21,22,0.5,133,6.0,2.0,163
22,23,0.5,136,5.9,1.9,172
23,24,0.5,138,6.1,1.3,159
24,25,0.5,139,6.3,1.1,73
25,26,0.5,141,6.3,2.0,68
26,27,0.5,139,6.5,2.7,85
27,28,0.5,127,6.8,2.9,95
28,29,0.5,121,6.2,2.5,113
29,30,0.5,124,6.1,1.8,126
30,31,0.5,127,6.1,1.2,127
31,32,0.5,130,6.3,1.1,116
32,33,0.6,134,6.3,1.1,82
33,34,0.6,137,6.2,2.3,52
34,35,0.6,137,6.2,2.7,53
35,36,0.6,133,6.6,2.8,65
36,37,0.6,130,7.0,2.8,74
37,38,0.5,111,6.2,3.2,94
38,39,0.6,116,6.2,2.2,102
39,40,0.6,121,6.2,1.4,100
40,41,0.6,126,6.3,1.1,83
41,42,0.6,132,6.2,1.7,58
42,43,0.6,134,6.1,2.7,49
43,44,0.7,131,6.0,3.5,50
44,45,0.7,130,5.9,3.3,56
45,46,0.7,137,6.0,3.7,61
46,47,0.5,107,6.2,3.1,103
47,48,0.6,111,6.2,1.2,101
48,49,0.6,118,6.2,1.4,71
49,50,0.7,123,6.1,2.1,63
50,51,0.7,125,6.1,2.8,55
51,52,0.7,123,5.9,3.2,56
52,53,0.7,124,5.8,3.7,52
53,54,0.7,132,5.8,4.3,54
54,55,0.6,99,6.2,1.7,58
55,56,0.7,104,6.2,1.9,35
56,57,0.7,110,6.1,2.8,57
57,58,0.7,113,6.0,3.2,52
58,59,0.8,114,5.9,3.8,50
59,60,0.7,114,5.8,3.8,43
60,61,0.8,123,5.8,4.4,56
61,62,0.6,90,6.2,2.0,49
62,63,0.7,90,6.2,2.8,48
63,64,0.7,96,6.1,3.6,44
64,65,0.7,100,6.0,4.0,40
65,66,0.7,103,6.0,4.3,42
66,67,0.8,103,5.9,4.2,48
67,68,0.8,107,5.8,4.5,44
68,69,0.8,83,6.2,3.4,26
69,70,0.8,85,6.2,3.9,39
70,71,0.9,89,6.1,4.1,46
71,72,0.9,94,6.0,4.4,48
72,73,1.0,87,5.9,4.6,42
73,74,1.0,82,5.8,5.0,34
74,75,-999.0,-999,-999.0,-999.0,-999
75,76,1.0,74,6.3,4.9,45
76,77,1.0,75,6.3,5.0,42
77,78,1.1,74,6.2,5.3,40
78,79,1.1,69,6.1,5.3,42
79,80,1.1,64,6.0,5.2,47
80,81,1.0,68,6.5,5.5,43
81,82,1.2,65,6.4,5.9,45
82,83,1.2,63,6.3,6.1,43
83,84,1.3,60,6.3,6.2,44
84,85,1.3,57,6.3,6.4,44
85,86,1.3,52,6.2,6.6,44
86,87,1.4,59,6.5,6.7,44
87,88,1.4,54,6.4,6.7,42
88,89,1.4,50,6.3,7.0,43
89,90,1.4,47,6.2,7.2,45
90,91,1.4,40,6.2,7.3,50
91,92,1.4,59,6.8,8.0,45
92,93,1.5,50,6.7,7.6,47
93,94,1.5,45,6.5,7.2,46
94,95,1.5,42,6.4,7.3,46
95,96,1.5,37,6.3,7.7,47
96,97,0.5,89,3.3,7.5,69
97,98,0.7,92,4.0,8.4,64
98,99,1.2,62,5.4,9.4,57
99,100,1.5,42,6.7,8.8,54
100,101,1.6,41,6.8,8.3,46
101,102,1.6,36,6.7,8.1,43
102,103,1.5,30,6.6,7.7,43
103,104,1.1,75,4.9,8.1,71
104,105,1.4,57,5.2,8.9,63
105,106,1.4,32,5.6,8.9,56
106,107,1.1,351,6.2,8.3,48
107,108,1.5,26,6.9,8.0,43
108,109,1.5,20,6.8,7.6,37
109,110,1.1,49,5.3,6.7,68
110,111,1.2,24,5.5,6.7,57
111,112,1.2,345,5.6,7.0,48
112,113,0.9,315,5.3,2.8,18
113,114,1.0,314,5.5,3.4,30
114,115,0.8,250,5.1,2.6,11
115,116,0.4,149,5.5,3.7,140
116,117,0.4,171,5.9,3.4,142
117,118,0.3,186,5.9,3.2,152
118,119,0.3,145,5.5,2.9,128
119,120,0.5,140,5.6,3.8,126
120,121,0.5,162,5.9,3.6,137
121,122,0.4,185,5.8,3.0,155
122,123,0.3,195,5.8,1.9,167
123,124,0.1,215,5.8,1.2,189
124,125,0.3,146,5.8,0.4,51
125,126,0.4,156,5.8,1.6,111
126,127,0.5,161,5.8,3.1,132
127,128,0.5,155,5.8,3.5,145
128,129,0.5,180,5.8,2.7,154
129,130,0.3,198,5.8,0.5,263
130,131,0.2,98,3.7,1.1,299
131,132,0.2,124,5.2,1.1,339
132,133,0.4,153,5.7,0.7,68
133,134,0.5,166,5.7,2.6,138
134,135,0.5,169,5.7,3.9,130
135,136,0.5,166,5.7,5.1,134
136,137,0.3,185,5.5,3.7,146
137,138,0.2,69,3.7,3.0,333
138,139,0.2,84,3.7,2.7,338
139,140,0.4,141,5.5,1.2,6
140,141,0.5,161,5.7,2.6,119
141,142,0.5,162,5.6,4.1,117
142,143,0.6,145,5.6,5.7,117
143,144,0.6,142,5.4,6.3,114
144,145,0.6,146,4.5,6.6,107
145,146,0.5,124,3.6,6.0,100
146,147,0.4,142,5.5,1.6,46
147,148,0.5,159,5.6,2.7,94
148,149,0.5,157,5.6,3.8,97
149,150,0.6,133,5.6,5.4,94
150,151,0.7,123,4.3,5.9,94
151,152,0.7,123,3.8,6.3,94
152,153,0.7,106,3.4,6.5,94
153,154,0.2,291,3.9,6.2,93
154,155,0.4,152,5.5,2.4,243
155,156,0.4,151,5.5,1.6,254
156,157,0.5,145,5.5,1.9,347
157,158,0.5,151,5.5,2.3,53
158,159,0.5,158,5.4,3.4,67
159,160,0.6,138,5.4,4.2,70
160,161,0.6,124,5.2,4.4,82
161,162,0.6,137,5.4,4.9,103
162,163,0.5,167,5.4,4.2,114
163,164,0.2,223,5.3,3.3,122
164,165,0.5,135,5.3,1.9,313
165,166,0.5,134,5.3,2.0,324
166,167,0.5,134,5.3,3.2,329
167,168,0.5,139,5.3,3.0,352
168,169,0.5,151,5.3,2.3,23
169,170,0.6,157,5.3,1.9,25
170,171,0.6,155,5.3,0.3,93
171,172,0.6,202,5.3,2.0,156
172,173,0.5,225,5.3,3.2,159
173,174,0.2,229,5.2,3.8,172
174,175,0.5,118,5.2,2.7,356
175,176,0.5,120,5.3,3.0,343
176,177,0.6,122,5.2,3.4,336
177,178,0.6,125,5.2,3.2,341
178,179,0.6,139,5.2,2.0,335
179,180,0.6,171,5.2,1.8,267
180,181,0.6,213,5.2,4.2,222
181,182,0.6,239,5.2,5.5,211
182,183,0.5,247,5.1,5.9,203
183,184,0.3,262,4.7,5.9,198
184,185,0.5,98,4.9,2.6,13
185,186,0.6,104,5.0,1.9,0
186,187,0.6,107,5.1,1.5,314
187,188,0.6,111,5.1,1.9,283
188,189,0.6,118,5.0,2.8,225
189,190,0.6,187,4.9,4.6,205
190,191,0.6,247,4.9,5.4,200
191,192,0.5,265,4.9,4.9,190
192,193,0.4,283,4.7,3.1,191
193,194,0.1,301,4.1,1.6,212
194,195,0.6,77,5.1,3.4,52
195,196,0.6,83,5.0,2.6,72
196,197,0.6,82,4.9,2.0,93
197,198,0.6,80,4.9,2.0,127
198,199,0.6,68,4.9,2.9,144
199,200,0.6,329,4.8,2.8,139
200,201,0.6,283,4.8,0.8,77
201,202,0.5,290,4.8,0.7,321
202,203,0.4,287,4.7,1.2,144
203,204,0.0,237,3.8,3.5,144
204,205,0.7,58,5.1,4.9,67
205,206,0.7,47,5.0,5.1,62
206,207,0.7,28,5.0,5.4,46
207,208,0.7,358,4.9,5.4,25
208,209,0.6,313,4.9,2.3,46
209,210,0.5,270,4.9,4.2,85
210,211,0.5,234,4.9,3.2,76
211,212,0.3,213,5.0,5.5,92
212,213,0.3,119,4.2,7.3,89
213,214,0.7,83,4.2,7.7,78
214,215,0.8,38,5.3,6.8,57
215,216,0.7,29,5.2,6.2,56
216,217,0.7,14,5.2,4.9,56
217,218,0.7,350,5.1,3.5,82
218,219,0.7,323,5.1,4.2,99
219,220,0.6,269,4.9,4.7,88
220,221,0.5,239,4.8,3.8,62
221,222,0.4,237,4.8,2.7,50
222,223,0.3,232,5.1,3.3,67
223,224,0.7,77,5.2,5.4,70
224,225,0.7,30,5.6,3.5,42
225,226,0.7,20,5.5,2.7,112
226,227,0.7,8,5.4,5.1,127
227,228,0.7,354,5.4,4.9,119
228,229,0.7,335,5.4,4.4,104
229,230,0.6,304,5.3,3.5,85
230,231,0.6,259,4.9,3.3,56
231,232,0.5,232,4.8,1.0,64
232,233,0.5,207,4.9,3.3,62
233,234,0.7,211,5.1,3.0,19
234,235,0.7,27,5.7,1.9,251
235,236,0.7,17,5.7,4.1,153
236,237,0.7,6,5.6,4.5,146
237,238,0.7,355,5.6,4.1,131
238,239,0.7,340,5.6,3.6,118
239,240,0.7,316,5.7,3.5,105
240,241,0.6,272,5.0,2.6,88
241,242,0.6,236,4.7,1.5,89
242,243,0.6,224,4.7,3.6,85
243,244,0.7,235,4.8,3.2,45
244,245,0.7,25,5.8,3.7,206
245,246,0.7,18,5.8,2.5,151
246,247,0.7,8,5.9,3.1,150
247,248,0.7,355,5.9,4.0,144
248,249,0.7,334,6.1,3.6,136
249,250,0.6,302,6.3,3.1,117
250,251,0.6,256,6.2,2.5,108
251,252,0.6,235,4.5,2.2,101
